10,0,0,0,0,0,0,0
55,10,0,0,0,0,0,0
89,43,0,0,0,0,0,0
159,69,0,0,0,0,0,0
220,115,0,0,0,0,0,0
280,178,0,0,0,0,0,0
362,238,0,0,0,0,0,0
455,295,0,0,5,0,0,0
531,372,0,0,12,5,0,0
615,418,0,0,22,12,0,0
729,430,0,0,24,12,0,0
790,461,0,0,24,12,0,0
854,500,0,0,24,12,0,0
942,554,0,0,24,12,0,0
1029,619,0,0,24,12,0,0
1083,702,0,0,24,12,0,0
1136,791,0,0,29,12,0,0
1168,886,0,0,36,29,0,0
1174,974,0,0,48,36,0,0
1190,1033,0,0,48,59,0,0
1246,1066,0,0,48,77,0,0
1294,1099,0,0,49,77,0,0
1355,1125,0,0,60,90,0,0
1410,1157,0,0,60,93,0,0
1437,1233,0,0,60,93,0,0
1456,1350,0,0,60,105,0,0
1501,1439,0,0,72,105,0,0
1571,1509,0,0,84,105,0,0
1634,1581,0,0,84,105,0,0
1723,1636,0,0,85,105,0,0
1778,1702,0,0,96,117,0,0
1845,1760,0,0,96,117,0,0
1903,1819,0,0,96,117,0,0
1950,1883,0,0,96,117,0,0
1997,1920,0,0,100,117,0,0
2050,1932,0,0,108,117,0,0
2083,1947,0,0,108,117,0,0
2124,1947,0,0,108,117,0,0
2159,1947,0,0,108,117,0,0
2189,1947,0,0,108,117,0,0
2224,1947,0,0,108,117,0,0
2256,1947,0,0,108,117,0,0
2276,1947,0,0,108,127,12,0
2288,1958,0,0,120,129,12,0
